keys,EN,CN,JP,KO
返回,Return,返回,戻る,돌아가기
指挥官!不妨先研发科技提升战力!,Commander! Why not research technology first to boost your combat power!,指挥官！不妨先研发科技提升战力！,先に技術を研究して戦力を上げてみては？,사령관! 먼저 기술을 연구하여 전투력을 높이는 게 어떨까요!
任务,Mission,任务,ミッション,임무
无尽生存,EndlessSurvival,无尽生存,エンドレスサバイバル,무한 생존
军需,Supplies,军需,軍需品,군수
战役模式,Campaign Mode,战役模式,キャンペーンモード,캠페인 모드
任务目标:,Mission Objectives:,任务目标：,ミッション目標：,임무 목표:
基地部署完成,Base Deployment Complete,基地部署完成,基地配備完了,기지 배치 완료
发现敌人,Enemy Sighted,发现敌人,敵を発見,적 발견
返回大厅,Return to Lobby,返回大厅,ロビーに戻る,로비로 돌아가기
重置科技树,Reset Tech Tree,重置科技树,テクノロジーツリーをリセット,기술 트리 초기화
未知技术,Unknown Technology,未知技术,未知の技術,알 수 없는 기술
请先研发前置科技使其可见,Please research the prerequisite technology first to make it visible,请先研发前置科技使其可见,前置技術を研究して可視化してください,선행 기술을 먼저 연구하여 표시되게 하세요
阵营科技,Faction Technology,阵营科技,陣営テクノロジー,진영 기술
